iter	RMSE
0	179471.0423
1	171782.9314
2	164710.8972
3	157865.9846
4	151529.3657
5	145750.3864
6	140241.5408
7	135350.3612
8	130908.1296
9	126547.242
10	122603.8704
11	118605.9932
12	114847.5776
13	111353.7188
14	108354.7292
15	105243.3904
16	102447.7844
17	99755.89922
18	97204.97386
19	94931.23157
20	92890.34837
21	90791.2584
22	88784.98159
23	87004.47507
24	85333.34586
25	83644.55116
26	82051.41518
27	80651.58875
28	79236.33098
29	77975.96054
30	76753.60454
31	75448.5727
32	74348.24632
33	73073.7204
34	71969.56053
35	70876.04932
36	69895.07024
37	68914.09595
38	67933.59407
39	66949.51111
40	65931.24376
41	65057.97819
42	64246.70985
43	63529.51245
44	62720.37034
45	61996.97849
46	61252.45179
47	60466.34524
48	59823.78008
49	59233.27193
50	58627.53
51	57971.72195
52	57368.45989
53	56804.03923
54	56112.98102
55	55578.65831
56	55172.00917
57	54636.66223
58	53985.60798
59	53549.14305
60	53142.75449
61	52606.03313
62	52139.19191
63	51628.30753
64	51183.36256
65	50788.06808
66	50232.59593
67	49814.00627
68	49321.15525
69	48983.7955
70	48574.37738
71	48226.13745
72	47911.39137
73	47602.18091
74	47225.31338
75	46716.80265
76	46288.37106
77	45934.98136
78	45599.22601
79	45198.76098
80	44844.27183
81	44528.20707
82	44251.08681
83	43910.88888
84	43636.39094
85	43376.69784
86	43086.26383
87	42842.55332
88	42549.09598
89	42234.12612
90	41951.69116
91	41689.80866
92	41434.28242
93	41207.5327
94	40881.16966
95	40525.22063
96	40292.57521
97	40045.08329
98	39780.59936
99	39566.28446
100	39386.39754
101	39135.63165
102	38892.88216
103	38638.92418
104	38344.07436
105	38119.53355
106	37896.45538
107	37696.70814
108	37479.18407
109	37265.54031
110	37046.5376
111	36803.32454
112	36549.76358
113	36350.37989
114	36092.46875
115	35909.81459
116	35703.76242
117	35491.42583
118	35314.76507
119	35104.4989
120	34905.59218
121	34694.4713
122	34517.62499
123	34320.31191
124	34147.74635
125	33969.08417
126	33800.98813
127	33650.02817
128	33475.09348
129	33313.07014
130	33109.90058
131	32913.7854
132	32781.66978
133	32602.63291
134	32438.37703
135	32272.58655
136	32113.91626
137	31898.2498
138	31735.68556
139	31578.19875
140	31405.63082
141	31227.33605
142	31093.27204
143	30956.21673
144	30808.23764
145	30652.97432
146	30505.04264
147	30329.83608
148	30173.77459
149	30050.58141
150	29897.62677
151	29761.38218
152	29619.22407
153	29485.25609
154	29381.71887
155	29245.48518
156	29100.523
157	28957.07283
158	28823.34689
159	28696.36878
160	28562.06303
161	28439.15497
162	28312.38418
163	28163.30076
164	28039.46697
165	27912.30423
166	27805.89396
167	27664.77199
168	27535.54052
169	27435.81987
170	27306.97596
171	27191.41696
172	27080.81874
173	26965.54628
174	26815.93278
175	26689.46393
176	26544.08498
177	26428.31943
178	26319.35992
179	26216.52463
180	26099.10993
181	25973.21255
182	25877.60895
183	25763.46374
184	25664.21523
185	25531.29908
186	25415.59481
187	25309.72537
188	25207.42331
189	25112.44032
190	25023.76681
191	24932.77119
192	24846.75633
193	24744.68519
194	24633.31346
195	24524.29624
196	24425.24458
197	24332.98526
198	24220.31627
199	24122.01283
200	24040.74212
201	23933.80131
202	23844.69192
203	23751.90537
204	23656.29997
205	23564.90875
206	23478.70193
207	23398.43739
208	23305.5175
209	23212.59539
210	23132.02741
211	23053.7688
212	22967.79926
213	22888.80543
214	22818.39172
215	22738.64074
216	22662.77858
217	22594.65647
218	22507.27083
219	22434.78675
220	22357.95055
221	22278.27725
222	22196.52189
223	22128.23501
224	22050.19779
225	21979.68209
226	21914.43128
227	21854.32692
228	21794.04438
229	21727.75413
230	21655.95235
231	21591.86637
232	21524.71355
233	21457.57615
234	21351.67356
235	21279.87898
236	21214.58416
237	21134.15052
238	21078.52715
239	21013.32735
240	20956.56572
241	20900.76733
242	20836.15811
243	20769.87886
244	20710.69401
245	20647.10903
246	20581.99596
247	20523.77309
248	20465.74278
249	20412.15709
250	20356.56535
251	20298.10053
252	20242.87391
253	20196.99634
254	20138.51349
255	20086.73773
256	20019.72233
257	19953.57158
258	19889.88617
259	19836.36654
260	19783.58226
261	19728.41845
262	19681.76376
263	19628.18983
264	19586.44511
265	19535.37945
266	19486.46989
267	19438.60553
268	19388.68646
269	19322.58378
270	19270.53126
271	19215.26973
272	19171.36509
273	19128.19386
274	19079.12384
275	19027.59077
276	18985.68749
277	18936.78311
278	18889.19672
279	18848.08271
280	18808.42999
281	18753.26693
282	18714.82678
283	18655.43374
284	18608.20773
285	18558.39902
286	18517.89942
287	18475.0766
288	18433.38501
289	18375.39006
290	18331.40559
291	18288.42501
292	18252.5575
293	18216.45777
294	18159.32564
