iter	Passed	Remaining
0	2	2326
1	4	2237
2	6	2161
3	8	2106
4	10	2144
5	12	2111
6	14	2123
7	17	2213
8	20	2243
9	22	2228
10	25	2299
11	27	2286
12	30	2282
13	32	2285
14	34	2263
15	36	2260
16	38	2245
17	40	2223
18	42	2197
19	44	2185
20	46	2167
21	48	2151
22	50	2143
23	52	2147
24	54	2135
25	56	2125
26	58	2115
27	60	2104
28	62	2092
29	64	2090
30	66	2079
31	68	2066
32	70	2055
33	71	2044
34	73	2032
35	75	2020
36	77	2011
37	79	2000
38	80	1994
39	83	1995
40	85	1995
41	87	1987
42	88	1978
43	90	1974
44	92	1967
45	94	1960
46	96	1957
47	98	1951
48	100	1943
49	101	1937
50	104	1936
51	105	1931
52	107	1925
53	109	1918
54	111	1915
55	113	1909
56	115	1904
57	117	1901
58	118	1895
59	120	1890
60	122	1884
61	124	1881
62	126	1878
63	128	1876
64	130	1875
65	132	1870
66	133	1865
67	135	1859
68	137	1856
69	139	1851
70	141	1845
71	142	1840
72	144	1837
73	146	1832
74	148	1827
75	150	1824
76	151	1821
77	153	1817
78	155	1812
79	157	1810
80	159	1807
81	161	1804
82	162	1799
83	164	1796
84	166	1792
85	168	1787
86	170	1784
87	171	1780
88	174	1782
89	175	1777
90	177	1774
91	179	1770
92	181	1766
93	182	1762
94	184	1760
95	186	1756
96	188	1752
97	190	1749
98	191	1746
99	193	1742
100	195	1739
101	197	1737
102	199	1734
103	200	1730
104	202	1726
105	204	1724
106	206	1720
107	207	1717
108	209	1713
109	211	1711
110	213	1707
111	214	1703
112	216	1700
113	218	1699
114	220	1695
115	222	1692
116	223	1689
117	225	1688
118	227	1687
119	229	1684
120	231	1682
121	233	1679
122	235	1676
123	237	1674
124	238	1672
125	240	1670
126	242	1667
127	244	1665
128	246	1662
129	248	1659
130	249	1656
131	251	1655
132	253	1652
133	255	1651
134	257	1650
135	259	1647
136	261	1644
137	262	1641
138	264	1639
139	266	1636
140	268	1633
141	269	1630
142	271	1628
143	273	1625
144	275	1622
145	276	1619
146	278	1617
147	280	1614
148	282	1611
149	284	1609
150	286	1608
151	287	1605
152	289	1603
153	291	1602
154	293	1600
155	295	1597
156	297	1597
157	299	1596
158	301	1593
159	303	1590
160	305	1591
161	307	1589
162	308	1586
163	311	1586
164	313	1584
165	315	1584
166	317	1583
167	319	1582
168	321	1580
169	323	1578
170	325	1579
171	328	1579
172	329	1576
173	332	1576
174	333	1573
175	335	1572
176	337	1571
177	339	1569
178	341	1567
179	343	1565
180	345	1564
181	347	1561
182	349	1559
183	351	1557
184	353	1555
185	355	1553
186	356	1551
187	359	1550
188	360	1548
189	362	1545
190	364	1543
191	366	1541
192	367	1538
193	369	1535
194	371	1535
195	373	1532
196	375	1530
197	377	1529
198	379	1527
199	381	1525
200	383	1523
201	385	1522
202	387	1520
203	389	1518
204	391	1516
205	393	1514
206	394	1512
207	396	1509
208	398	1508
209	400	1506
210	402	1503
211	404	1501
212	405	1499
213	407	1497
214	409	1494
215	411	1493
216	413	1491
217	415	1490
218	417	1489
219	419	1487
220	421	1484
221	422	1482
222	424	1480
223	426	1478
224	428	1475
225	430	1473
226	432	1471
227	433	1469
228	435	1466
229	437	1465
230	439	1462
231	441	1460
232	442	1457
233	444	1456
234	446	1454
235	448	1452
236	450	1450
237	452	1448
238	454	1445
239	455	1443
240	457	1441
241	459	1439
242	461	1438
243	463	1436
244	465	1435
245	467	1433
246	469	1430
247	471	1428
248	473	1427
249	474	1424
250	476	1422
251	478	1420
252	480	1418
253	482	1415
254	483	1413
255	485	1411
256	487	1409
257	489	1407
258	491	1405
259	493	1403
260	494	1401
261	496	1398
262	498	1396
263	500	1394
264	501	1392
265	503	1390
266	505	1388
267	507	1385
268	509	1383
269	510	1381
270	512	1379
271	514	1377
272	516	1374
273	518	1373
274	520	1371
275	522	1369
276	523	1367
277	525	1365
278	527	1363
279	529	1361
280	531	1359
281	533	1357
282	534	1354
283	536	1352
284	538	1351
285	540	1348
286	541	1346
287	543	1344
288	545	1342
289	547	1340
290	549	1338
291	550	1335
292	552	1333
293	554	1331
294	556	1329
295	558	1327
296	559	1324
297	561	1322
298	563	1320
299	565	1318
300	567	1316
301	568	1314
302	570	1312
303	572	1310
304	574	1308
305	576	1306
306	577	1304
307	580	1303
308	581	1301
309	583	1299
310	585	1297
311	587	1295
312	589	1293
313	590	1291
314	592	1289
315	594	1286
316	596	1285
317	598	1283
318	600	1281
319	601	1279
320	603	1276
321	605	1274
322	607	1272
323	608	1270
324	610	1268
325	612	1266
326	614	1265
327	616	1263
328	618	1261
329	620	1259
330	622	1257
331	623	1255
332	625	1253
333	627	1251
334	629	1249
335	631	1247
336	633	1245
337	635	1243
338	636	1241
339	638	1239
340	640	1237
341	642	1235
342	644	1233
343	645	1231
344	647	1229
345	649	1227
346	651	1225
347	652	1223
348	654	1221
349	656	1219
350	658	1217
351	660	1215
352	661	1212
353	663	1210
354	665	1209
355	667	1206
356	668	1204
357	670	1202
358	672	1200
359	674	1198
360	675	1196
