Modelo,Combinación de Características,Puntaje R^2
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide",0.2087016050124454
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide",0.25749178611278
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, density",0.2664092695905931
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, pH",0.18768064543815977
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, sulphates",0.2646674105227018
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, alcohol",0.3591535147197664
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide",0.33549971676250967
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, density",0.29185381512316544
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, pH",0.2766566303321605
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, sulphates",0.3231512488198438
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, alcohol",0.41928088576087896
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, density",0.3112015792635826
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, pH",0.28732860698652474
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, sulphates",0.3745110977598489
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, alcohol",0.43427098103167106
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, density, pH",0.27904337825079384
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, density, sulphates",0.3529172088232768
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, density, alcohol",0.3836917002832375
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, pH, sulphates",0.2846754441678826
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, pH, alcohol",0.3967894258003605
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, residual sugar, sulphates, alcohol",0.4071515921380139
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide",0.24089990558750318
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, density",0.23699102222985147
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, pH",0.20314369582010106
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, sulphates",0.3193275083683803
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, alcohol",0.376790730409407
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, density",0.24153820272937943
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, pH",0.23416757359883278
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, sulphates",0.36383417732383483
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, alcohol",0.3782771607587331
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, density, pH",0.2591232340571624
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, density, sulphates",0.36776558235344614
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, density, alcohol",0.368637335851
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, pH, sulphates",0.27527401939747664
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, pH, alcohol",0.3604257145309415
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, chlorides, sulphates, alcohol",0.39713603982490775
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density",0.297516093039224
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, pH",0.3095591451377564
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, sulphates",0.38407896317912615
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, alcohol",0.4188711011930306
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, free sulfur dioxide, density, pH",0.26862518238777777
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, free sulfur dioxide, density, sulphates",0.37635952278774354
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, free sulfur dioxide, density, alcohol",0.4137471461677109
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, free sulfur dioxide, pH, sulphates",0.32678657625954843
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, free sulfur dioxide, pH, alcohol",0.42142099390610255
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, free sulfur dioxide, sulphates, alcohol",0.4513572397219122
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, total sulfur dioxide, density, pH",0.2805155265642435
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, total sulfur dioxide, density, sulphates",0.4180740537292936
RandomForestRegressor,"fixed acidity, volatile acidity, citric acid, total sulfur dioxide, density, alcohol",0.4082491116642347
