Combinación de Características;Puntaje R^2; alcohol; chlorides; citric acid; density; free sulfur dioxide; pH; residual sugar; sulphates; total sulfur dioxide;volatile acidity
fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,550779831;#N/D;;;;;;;;;
volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,544607352;;;;;;;;;;
volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,543334158;;;;;;;;;;
volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,543234311;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,542558508;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,542464866;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,541048389;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,539353806;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, sulphates, alcohol;0,538988828;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,53869944;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,537559376;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,537330348;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,536496595;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,536134437;;;;;;;;;;
citric acid, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,535648175;;;;;;;;;;
volatile acidity, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,535496994;;;;;;;;;;
fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,535106067;;;;;;;;;;
volatile acidity, citric acid, chlorides, free sulfur dioxide, density, sulphates, alcohol;0,534933449;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,534826269;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,534813858;;;;;;;;;;
volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,534447188;;;;;;;;;;
citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,533558716;;;;;;;;;;
volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,533427279;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,53342051;;;;;;;;;;
volatile acidity, chlorides, free sulfur dioxide, density, sulphates, alcohol;0,532462653;;;;;;;;;;
volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,532405114;;;;;;;;;;
citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,531675157;;;;;;;;;;
volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,531538642;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, sulphates, alcohol;0,530960431;;;;;;;;;;
volatile acidity, citric acid, residual sugar, total sulfur dioxide, density, sulphates, alcohol;0,530911918;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,530906841;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,53087243;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,530663146;;;;;;;;;;
volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,530277859;;;;;;;;;;
fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,529907804;;;;;;;;;;
volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,52971375;;;;;;;;;;
